id,employeeNumber,Center,jobTitle,attendanceDate,shiftStartTime,shiftEndTime,firstInOfTheDay,lastOutOfTheDay,dayType,shiftDuration,shiftEffectiveDuration,totalGrossHours,totalEffectiveHours,totalBreakDuration,totalEffectiveOvertimeDuration,totalGrossOvertimeDuration
6ebf1972-f23f-4a2e-bd09-e1fa54e82e93,NP04807,169-HR-KKT-JNR-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T01:30:00Z,2025-09-22T09:30:00Z,22-09-2025 03:47,22-09-2025 14:24,0,8,7.5,10.62,10.62,0,3.12,2.62
e85f34e4-be55-4c6a-bf64-3d1a8c561d8e,NP04922,48-PB-LDH-SHP-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 06:22,22-09-2025 14:34,0,9,9,8.2,8.2,0,0,0
cc27d386-d33f-4b7e-b05e-26c55fe231f8,NP04923,48-PB-LDH-SHP-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 03:39,22-09-2025 11:54,0,9,9,8.26,8.26,0,0,0
7caa91a5-f719-4609-bf1b-1a323e7f9d4f,NP0500,96-AP-NRP-PPP-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,,,0,9,9,0,0,0,0,0
a5302361-ee26-472d-8cd9-11bb187c7488,NP06018,130-WB-BNK-JRD-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 10:21,22-09-2025 20:20,0,9,9,9.99,9.99,0,0.99,0.99
42b642e1-5a32-45da-aad9-ed0e51177679,NP0602,91-MH-PUN-BBW-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:30:00Z,2025-09-22T13:30:00Z,22-09-2025 07:25,22-09-2025 17:49,0,9,8.5,10.42,10.42,0,1.92,1.42
b1a41fe8-3bae-44a1-b371-eb0646cb69f8,NP06728,137-AP-SRK-PPP-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T00:30:00Z,2025-09-22T09:30:00Z,22-09-2025 00:39,22-09-2025 09:43,0,9,8.5,9.05,9.05,0,0.55,0.05
a6822eff-d214-4dfc-a713-268816584e81,NP06878,222-WB-HGY-HDM-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 00:44,22-09-2025 05:47,0,9,9,5.06,5.06,0,0,0
99eadeec-4570-4ea3-8a18-51246db8a020,NP06880,388-JH-RNC-IPC-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:30:00Z,2025-09-22T13:30:00Z,22-09-2025 01:49,22-09-2025 10:43,0,9,8.5,8.9,8.9,0,0.4,0
83064cc1-bc98-4f25-af15-c6d5f679a294,NP07319,68-UP-GZB-VSH-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 02:17,22-09-2025 08:57,0,9,9,6.65,6.65,0,0,0
a05daa0e-2558-459f-9184-763a0612b018,NP07390,68-UP-GZB-VSH-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 03:53,22-09-2025 12:03,0,9,9,8.16,8.16,0,0,0
404074b9-f212-49ec-8b91-d03296f4084c,NP07771,74-JH-JSP-BRD-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 01:41,22-09-2025 10:36,0,9,9,8.91,8.91,0,0,0
198ec8cb-9358-456a-b352-1c11e4184f06,NP07773,229-JH-JSP-NBD-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 07:19,22-09-2025 15:37,0,9,9,8.31,8.31,0,0,0
8f3b786c-0fa2-4fa1-804c-029159644ec8,NP08616,87-JH-DBD-BSP-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,,,0,9,9,0,0,0,0,0
7cbdc69a-85b4-4760-bf2f-61c582207c43,NP08819,81-AP-MCP-PPP-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T06:30:00Z,2025-09-22T15:30:00Z,22-09-2025 06:38,22-09-2025 15:58,0,9,8.5,9.33,9.33,0,0.83,0.33
37c93be5-79d9-4f5e-806b-858959cccb7a,NP08928,90-AP-RJY-PPP-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 04:34,22-09-2025 14:11,0,9,9,9.61,9.61,0,0.61,0.61
a8c07495-0c64-47ae-9b00-ea0d20d14256,NP0934,101-KA-BLR-RJJ-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 00:27,22-09-2025 08:32,0,9,9,8.08,8.08,0,0,0
f396edfe-52a6-4ca5-912b-d5c7fabaf284,NP09813,88-AP-SKH-PPP-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,,,0,9,9,0,0,0,0,0
c4097623-9792-4311-8f83-0eb0b4cacda7,NP09918,85-AP-TNL-PPP-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 00:31,22-09-2025 09:36,0,9,9,9.09,9.09,0,0.09,0.09
7531d7b2-dd7b-402e-836f-79056155b91d,NP09919,89-AP-TPD-PPP-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 06:40,22-09-2025 15:38,0,9,9,8.98,8.98,0,0,0
1892abca-3bc9-4083-9f2a-1c87c436381d,NP10019,161-TN-CHE-KPK2-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:30:00Z,2025-09-22T12:30:00Z,22-09-2025 06:16,22-09-2025 14:09,0,8,7.5,7.89,7.89,0,0.39,0
3df0667d-d2be-4408-9d17-074f9f343810,NP10027,120-AP-VZG-PPP2-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,,,0,9,9,0,0,0,0,0
eb74c48b-92d4-403d-959b-ffbe17c0b9dd,NP1003,Support Office,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 03:56,22-09-2025 10:31,0,9,9,6.58,6.58,0,0,0
0cb70043-0107-44d0-b99f-09ca88586ea3,NP10085,102-AP-TPT-SVU-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T07:30:00Z,2025-09-22T16:30:00Z,22-09-2025 07:48,22-09-2025 16:40,0,9,8.5,8.86,8.86,0,0.36,0
dbb322a3-8492-463f-927a-b9a85bc5c06a,NP10133,Support Office,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 05:13,22-09-2025 10:35,0,9,9,9.41,3.42,5.99,0,0.41
2ba38e38-b418-43bd-ba09-bc5776e64c34,NP10134,Support Zones,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 05:30,22-09-2025 14:21,0,9,9,8.86,8.86,0,0,0
32285d3a-0d1a-422f-8f0b-01c5d7aadf00,NP10144,Support Zones,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 05:30,,0,9,9,0,0,0,0,0
fdf777ca-b80f-4edb-b013-be7f485dca3c,NP10154,Support Office,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,,,0,9,9,0,0,0,0,0
61ee5455-919d-4d3f-9963-b9a9636c8c23,NP10165,Support Office,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 04:16,22-09-2025 13:24,0,9,9,9.13,6.8,2.33,0,0.13
3c5a9218-6930-4a1b-948d-b2ef02cc55ea,NP1017,9-KA-BLR-BVN-S,Center Manager,2025-09-22T00:00:00Z,2025-09-22T01:00:00Z,2025-09-22T09:00:00Z,22-09-2025 00:52,22-09-2025 09:00,0,8,7.5,8.13,8.13,0,0.63,0.13
cbac5b94-4526-4bee-b9df-c586ccc9facf,NP10196,Support Zones,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 04:00,22-09-2025 13:00,0,9,9,9,9,0,0,0
0dc5088c-e2ae-4186-9442-a260ced05e09,NP10212,127-AP-VJW-PPP-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 02:51,22-09-2025 12:43,0,9,9,9.86,9.86,0,0.86,0.86
5a6162c6-5737-4aa2-a373-c0f74c8ccae1,NP10220,137-AP-SRK-PPP-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T00:30:00Z,2025-09-22T09:30:00Z,22-09-2025 00:51,,0,9,8.5,0,0,0,0,0
404bd588-f6e9-4912-9e67-8177b543db20,NP10286,102-AP-TPT-SVU-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T00:30:00Z,2025-09-22T09:30:00Z,22-09-2025 08:48,22-09-2025 17:41,0,9,8.5,8.88,8.88,0,0.38,0
73d4d4cd-bd8e-4767-9182-4adb6ad10d6f,NP1029,Support Office,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 03:50,22-09-2025 11:54,0,9,9,8.07,7.99,0.08,0,0
ae71f53e-081b-4a2e-9db8-2ca5132890c3,NP10298,122-AP-SMP-PPP-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T06:30:00Z,2025-09-22T15:30:00Z,22-09-2025 06:12,22-09-2025 16:04,0,9,8.5,9.86,9.86,0,1.36,0.86
3f7f85ee-1735-46d9-ae91-ceccb77523c8,NP10305,102-AP-TPT-SVU-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T00:30:00Z,2025-09-22T09:30:00Z,22-09-2025 00:24,22-09-2025 09:31,0,9,8.5,9.11,9.11,0,0.61,0.11
48e94e19-bb10-42b7-b5f2-b1bf846c00a1,NP10307,122-AP-SMP-PPP-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T00:30:00Z,2025-09-22T09:30:00Z,22-09-2025 00:43,22-09-2025 09:49,0,9,8.5,9.09,9.09,0,0.59,0.09
5459dbd0-1bd5-4b5f-8977-68fac4db9a32,NP10311,39-AP-TPT-KLG-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 00:47,22-09-2025 13:57,0,9,9,13.16,13.16,0,4.16,4.16
13a76372-7cd0-4763-876c-101a51ee0d7a,NP10328,157-WB-EMD-TML-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 04:19,22-09-2025 13:37,0,9,9,9.29,9.29,0,0.29,0.29
9e81ab31-8243-47fd-95eb-5719e080a601,NP10330,157-WB-EMD-TML-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T07:30:00Z,2025-09-22T16:30:00Z,22-09-2025 07:42,22-09-2025 16:42,0,9,8.5,8.98,8.98,0,0.48,0
ff9efbe8-c7f6-481b-9283-a790bffacdc6,NP10331,157-WB-EMD-TML-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T01:00:00Z,2025-09-22T10:00:00Z,22-09-2025 00:54,22-09-2025 14:06,0,9,8.5,13.21,13.21,0,4.71,4.21
803784fb-703f-458f-b9db-f4551240bbd6,NP10337,147-TS-HYD-SLP-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 03:52,22-09-2025 13:07,0,9,9,9.26,9.26,0,0.26,0.26
45a9241f-ef35-4abb-8175-0b635cdb0890,NP10346,Support Zones,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,,,0,9,9,0,0,0,0,0
cd746b04-a08e-4952-abb7-790d8c36609f,NP10348,157-WB-EMD-TML-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,,,0,9,9,0,0,0,0,0
4fdc6cf2-0760-4398-b318-e134adb76294,NP10350,157-WB-EMD-TML-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T07:30:00Z,2025-09-22T16:30:00Z,22-09-2025 07:05,22-09-2025 16:21,0,9,8.5,9.26,9.26,0,0.76,0.26
f02f0bbc-5e11-41d6-9ade-bfef5586c319,NP10351,542-WB-HRH-ULB-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 00:28,22-09-2025 09:31,0,9,9,9.06,9.06,0,0.06,0.06
9f39fb24-11c3-4985-9d3b-82d2e2fc1c87,NP10364,157-WB-EMD-TML-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T00:30:00Z,2025-09-22T09:30:00Z,22-09-2025 00:32,22-09-2025 09:38,0,9,8.5,9.1,9.1,0,0.6,0.1
6fdf1052-8fde-431a-9905-b4df31d9c82b,NP10424,95-AP-HUP-PPP-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 00:41,22-09-2025 09:38,0,9,9,8.96,8.96,0,0,0
618798c7-6203-49b0-8458-1cd2e346707b,NP10468,158-WB-BDL-LBM-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T07:30:00Z,2025-09-22T16:30:00Z,22-09-2025 07:52,22-09-2025 16:47,0,9,8.5,8.93,8.93,0,0.43,0
92618c87-75c4-4064-832a-e76d5abff204,NP10498,99-AP-PDT-PPP-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T12:00:00Z,22-09-2025 05:14,22-09-2025 13:48,0,8,7.5,8.57,8.57,0,1.07,0.57
be653d9d-32b3-4268-b485-f6e0f15a6034,NP10604,161-TN-CHE-KPK2-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T01:30:00Z,2025-09-22T09:30:00Z,22-09-2025 01:23,22-09-2025 11:42,0,8,7.5,10.33,10.33,0,2.83,2.33
bee86714-88fe-4d82-9d13-cc85d725e008,NP10605,184-PY-MLP-SLN-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T01:30:00Z,2025-09-22T09:30:00Z,22-09-2025 00:40,22-09-2025 08:46,0,8,7.5,8.1,8.1,0,0.6,0.1
a17e038a-eca3-4d25-affa-c5d4a63462de,NP10649,241-JH-JSP-YKC-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T07:00:00Z,2025-09-22T16:00:00Z,22-09-2025 07:01,22-09-2025 16:03,0,9,9,9.03,9.03,0,0.03,0.03
a640f572-7552-4bcd-81eb-dfd4f994da27,NP10670,Support Zones,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,,,0,9,9,0,0,0,0,0
da75612e-3822-4729-b191-fe8fe56ee845,NP10680,26-UP-LCK-ALB-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 04:00,22-09-2025 13:00,0,9,9,9,9,0,0,0
940c9f09-2a6a-4b0a-a14f-b356c3d56ab4,NP10683,68-UP-GZB-VSH-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 08:09,22-09-2025 14:41,0,9,9,6.54,6.54,0,0,0
77060967-41b9-4646-bc7c-895726b49db1,NP10684,68-UP-GZB-VSH-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,,,0,9,9,0,0,0,0,0
c2f82772-e41b-47ea-b1e9-18283fa2a5d9,NP1072,Support Office,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 02:53,22-09-2025 14:07,0,9,9,12.14,6.63,5.51,0,3.14
22a4c6b1-2525-4ff4-a256-8fa1b616175c,NP10747,54-TN-CMB-GPP-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 02:52,22-09-2025 14:29,0,9,9,11.61,11.61,0,2.61,2.61
75a8c2bf-9008-47db-8cc5-91af3127cb91,NP10749,542-WB-HRH-ULB-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 06:08,22-09-2025 15:11,0,9,9,9.04,9.04,0,0.04,0.04
7a2bee44-c0cc-4e71-b7c3-fe2d2f4d6a1b,NP10760,89-AP-TPD-PPP-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 00:32,22-09-2025 09:34,0,9,9,9.03,9.03,0,0.03,0.03
7384898f-a4d3-4b56-850b-b7128c456f75,NP10764,Support Zones,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 08:30,22-09-2025 11:50,0,9,9,3.34,3.34,0,0,0
7c155177-393b-496a-a894-4d8cd739b918,NP10773,18-MH-PUN-SGV-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 08:26,22-09-2025 16:46,0,9,9,8.33,8.33,0,0,0
3821528f-d623-4fe1-abb9-1df3b35be414,NP10792,123-BH-MTH-BYP-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 05:01,22-09-2025 16:08,0,9,9,11.11,11.11,0,2.11,2.11
5251fa8b-22c3-4adf-be1b-0838f1aa2a96,NP1080,Support Office,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 04:47,22-09-2025 13:48,0,9,9,9.02,9.02,0,0.02,0.02
0c511272-85bc-4f2f-8be3-027997deead0,NP1081,Support Office,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 04:27,22-09-2025 13:14,0,9,9,8.79,8.37,0.42,0,0
4dacad63-033c-455a-adf9-ebf3d03dd277,NP10815,Support Zones,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 07:24,22-09-2025 16:40,0,9,9,9.27,9.27,0,0.27,0.27
1166f7a4-bf04-4654-a4ba-764091142a2f,NP10834,89-AP-TPD-PPP-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 03:55,22-09-2025 13:13,0,9,9,9.3,9.3,0,0.3,0.3
8f7a69fc-77e2-4214-b9df-69727ee6c87f,NP10840,173-AP-ONG-PPP-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 01:08,22-09-2025 10:01,0,9,9,8.88,8.88,0,0,0
83b9f96a-8df9-4584-9a9b-2b9e693c52b1,NP10842,232-AP-ONG-ACE-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,,,0,9,9,0,0,0,0,0
7abb6999-87d5-40b8-a590-21026d1c2bf5,NP10844,199-WB-SLG-SMR-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,,,0,9,9,0,0,0,0,0
0b77868b-c970-4a43-a7e6-04a97a1b91cb,NP10882,158-WB-BDL-LBM-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T07:30:00Z,2025-09-22T16:30:00Z,22-09-2025 07:14,22-09-2025 16:15,0,9,8.5,9,9,0,0.5,0
cbc4c968-dcf3-4ddd-a22e-1972f4989750,NP10899,16-DL-MAX-PPG-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T02:30:00Z,2025-09-22T08:30:00Z,,,0,6,5.5,0,0,0,0,0
104a6736-60a4-45cd-b63b-cc9d93763d8e,NP10914,96-AP-NRP-PPP-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T07:30:00Z,2025-09-22T16:30:00Z,22-09-2025 03:39,22-09-2025 12:35,0,9,8.5,8.93,8.93,0,0.43,0
dc2cd186-a86d-44cc-9d32-465281b919a3,NP10947,157-WB-EMD-TML-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:30:00Z,2025-09-22T13:30:00Z,22-09-2025 05:00,22-09-2025 15:07,0,9,8.5,10.12,10.12,0,1.62,1.12
b3c7fcc1-bd15-45ef-9839-b124ec972638,NP10953,Support Zones,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 08:30,22-09-2025 13:01,0,9,9,4.52,4.52,0,0,0
c59193f4-68c7-4a3e-9199-c1c88c6d565d,NP10971,200-AP-KVT-PPP-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:30:00Z,2025-09-22T13:30:00Z,22-09-2025 04:23,22-09-2025 13:35,0,9,8.5,9.21,9.21,0,0.71,0.21
5d973f8a-7310-4f1c-8708-c63b8e5c1092,NP10975,97-AP-CHR-PPP-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,,,0,9,9,0,0,0,0,0
cfb26177-d39b-4a41-bf42-a66cb957ac1b,NP10977,89-AP-TPD-PPP-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,,,0,9,9,0,0,0,0,0
cf397790-de22-4c09-920d-d1102125b9d8,NP10984,48-PB-LDH-SHP-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 08:15,22-09-2025 16:18,0,9,9,8.05,8.05,0,0,0
9352e761-7cee-4ed8-8b34-08934af4435b,NP10985,175-UP-SHP-BJR-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 02:06,22-09-2025 11:17,0,9,9,9.19,9.19,0,0.19,0.19
a1bcaa66-8ce4-4d6b-8fbe-d8f1563b1ce4,NP10988,401-KA-KRP-PPP-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 06:23,22-09-2025 15:33,0,9,9,9.17,9.17,0,0.17,0.17
d088a826-c723-40d2-8f08-a781067d79b5,NP11016,565-TS-JDC-NCK-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 01:10,22-09-2025 10:12,0,9,9,9.05,9.05,0,0.05,0.05
04eae09b-6fda-423f-9ba9-4fcf4d57a4f4,NP11026,150-MH-ULN-VTW-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 00:15,22-09-2025 09:07,0,9,9,8.85,8.85,0,0,0
724284e1-363a-4181-90e9-62647b5b7fc2,NP11028,209-PB-FRZ-MDT-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T02:30:00Z,2025-09-22T10:30:00Z,22-09-2025 00:44,22-09-2025 11:40,0,8,7.5,10.94,10.94,0,3.44,2.94
c200e4b7-2b5b-436a-8be1-86f5a0e04a92,NP1104,9-KA-BLR-BVN-S,Center Manager,2025-09-22T00:00:00Z,2025-09-22T01:00:00Z,2025-09-22T09:00:00Z,22-09-2025 00:50,22-09-2025 09:08,0,8,7.5,8.31,8.31,0,0.81,0.31
0dee5eaa-4314-4dbd-8edf-975ed75f52bd,NP11044,68-UP-GZB-VSH-C,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,22-09-2025 08:15,22-09-2025 14:44,0,9,9,6.48,6.48,0,0,0
d8894c44-3d2c-4ec2-abf6-fb3effbef774,NP11093,Support Zones,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,,,0,9,9,0,0,0,0,0
3f3a102f-88c2-45de-891a-2c65f62521fb,NP11131,Support Office,Center Manager,2025-09-22T00:00:00Z,2025-09-22T04:00:00Z,2025-09-22T13:00:00Z,,,0,9,9,0,0,0,0,0
